time,ISIN,bidprice0,askprice0,bidsize0,asksize0
2020.04.30D12:00:02.379608474,LON0_P1750,2.89,2.99,8,9
2020.04.30D12:00:02.379612533,LON0_P1800,3.04,3.14,8,12
2020.04.30D12:00:02.379616232,LON0_P1850,3.2,3.3,8,12
2020.04.30D12:00:02.379619668,LON0_P1900,3.37,3.47,8,7
2020.04.30D12:00:02.379623279,LON0_P1950,3.55,3.65,6,4
2020.04.30D12:00:02.379627133,LON0_P2000,3.74,3.85,6,9
2020.04.30D12:00:02.379630865,LON0_P2050,3.94,4.05,6,10
2020.04.30D12:00:02.379634413,LON0_P2100,4.16,4.27,6,4
2020.04.30D12:00:02.379638422,LON0_P2150,4.39,4.51,6,6
2020.04.30D12:00:02.379642350,LON0_P2200,4.64,4.76,6,6
2020.04.30D12:00:02.379646071,LON0_P2250,4.89,5.02,6,6
2020.04.30D12:00:02.379649349,LON0_P2300,5.17,5.3,6,6
2020.04.30D12:00:02.379653165,LON0_P2350,5.45,5.58,6,6
2020.04.30D12:00:02.386622182,LON0_C2000,4.22,4.44,6,6
2020.04.30D12:00:02.386626206,LON0_P2200,4.64,4.76,6,6
2020.04.30D12:00:02.386629776,LON0_C1900,4.83,5.07,6,12
2020.04.30D12:00:02.386746683,LOM0_P1850,3.3,3.4,6,2
2020.04.30D12:00:02.386757577,LON0_P1950,3.55,3.65,6,4
2020.04.30D12:00:02.386761182,LON0_C2400,2.3,2.4,5,16
2020.04.30D12:00:02.386764608,LON0_P1700,2.75,2.86,26,18
2020.04.30D12:00:02.386768290,LON0_P1650,2.62,2.72,27,15
2020.04.30D12:00:02.386809855,LOM0_P1850,3.3,3.4,5,2
2020.04.30D12:00:02.387299286,LON0_P1700,2.75,2.86,22,18
2020.04.30D12:00:02.388678775,LOM0_C1700,3.2,3.29,2,8
2020.04.30D12:00:02.388683549,LON0_C2100,3.69,3.82,5,6
2020.04.30D12:00:02.388687216,LON0_C2250,2.94,3.05,5,13
2020.04.30D12:00:02.388690841,LON0_C2500,1.95,2.04,5,17
2020.04.30D12:00:02.388694152,LOM0_C1850,2.35,2.43,4,10
2020.04.30D12:00:02.388697668,LOM0_C2000,1.7,1.74,2,10
2020.04.30D12:00:02.388701011,LOM0_P1100,1.27,1.32,10,4
2020.04.30D12:00:02.388704332,LON0_P1550,2.38,2.48,23,5
2020.04.30D12:00:02.388707551,LON0_P1600,2.5,2.6,9,13
2020.04.30D12:00:02.388711351,LON0_P1800,3.04,3.14,8,9
2020.04.30D12:00:02.388731421,LOM0_C1800,2.62,2.7,3,10
2020.04.30D12:00:02.388734847,LOM0_C1950,1.87,1.95,5,14
2020.04.30D12:00:02.388739229,LON0_C2450,2.12,2.21,5,13
2020.04.30D12:00:02.388742997,LOM0_C2100,1.31,1.39,7,15
2020.04.30D12:00:02.388746818,LOM0_C2200,1.03,1.09,8,9
2020.04.30D12:00:02.388750283,LOM0_C2450,0.55,0.6,7,13
2020.04.30D12:00:02.388753776,LON0_C2150,3.42,3.55,5,14
2020.04.30D12:00:02.388757136,LON0_C2400,2.3,2.4,5,16
2020.04.30D12:00:02.388760682,LON0_P1300,1.9,1.99,29,17
2020.04.30D12:00:02.388778523,LON0_C1850,5.15,5.4,6,12
2020.04.30D12:00:02.388782189,LON0_P2000,3.74,3.85,6,9
2020.04.30D12:00:02.388820083,LOM0_C1000,8.64,8.82,1,7
2020.04.30D12:00:02.388823976,LOM0_C1050,8.2,8.37,1,7
2020.04.30D12:00:02.388827493,LOM0_C1100,7.77,7.93,7,13
2020.04.30D12:00:02.388831045,LOM0_C1250,6.49,6.64,8,13
2020.04.30D12:00:02.388834624,LOM0_C1300,6.08,6.23,8,9
2020.04.30D12:00:02.388838070,LOM0_C1350,5.68,5.83,8,9
2020.04.30D12:00:02.388841666,LOM0_C1550,4.18,4.29,1,2
2020.04.30D12:00:02.388865973,LON0_P2350,5.45,5.58,6,6
